layout,ResNet50,EfficientNet b4,gluon_resnet152_v1s,convnext_nano,convnext_Large,resnetv2_101,efficientnetv2_rw_m,,
"[1, 5, 5]",5.12E-01,5.12E-01,5.52E-01,5.93E-01,5.92E-01,6.11E-01,5.50E-01,,
"[2, 1, 5]",5.34E-01,5.34E-01,5.99E-01,5.56E-01,5.48E-01,7.29E-01,5.56E-01,,
"[2, 2, 5]",5.31E-01,5.31E-01,5.30E-01,6.29E-01,5.85E-01,6.42E-01,5.78E-01,,
"[2, 3, 5]",5.56E-01,5.56E-01,5.69E-01,5.52E-01,5.43E-01,5.36E-01,5.14E-01,,
"[2, 4, 5]",5.84E-01,5.84E-01,5.61E-01,5.54E-01,5.69E-01,5.36E-01,5.71E-01,,
"[2, 5, 1]",4.99E-01,4.99E-01,5.30E-01,5.80E-01,5.82E-01,5.81E-01,4.73E-01,,
"[2, 5, 2]",5.21E-01,5.21E-01,5.25E-01,4.76E-01,5.33E-01,6.36E-01,6.36E-01,,
"[2, 5, 3]",5.51E-01,5.51E-01,5.80E-01,6.09E-01,5.83E-01,5.55E-01,5.88E-01,,
"[2, 5, 4]",5.21E-01,5.21E-01,5.01E-01,5.77E-01,6.41E-01,5.82E-01,5.92E-01,,
"[2, 5, 5]",5.12E-01,5.12E-01,5.29E-01,5.82E-01,4.83E-01,6.52E-01,5.39E-01,,
"[3, 1, 5]",5.08E-01,5.08E-01,6.45E-01,5.19E-01,5.52E-01,6.16E-01,5.09E-01,,
"[3, 2, 5]",5.38E-01,5.38E-01,5.92E-01,5.25E-01,5.73E-01,5.44E-01,5.61E-01,,
"[3, 3, 5]",5.32E-01,5.32E-01,4.84E-01,5.94E-01,6.20E-01,5.72E-01,5.25E-01,,
"[3, 4, 5]",6.28E-01,6.28E-01,6.05E-01,5.60E-01,5.32E-01,5.06E-01,6.60E-01,,
"[3, 5, 1]",5.54E-01,5.54E-01,6.08E-01,5.79E-01,5.91E-01,6.25E-01,4.91E-01,,
"[3, 5, 2]",5.57E-01,5.57E-01,5.42E-01,5.76E-01,5.58E-01,6.24E-01,5.86E-01,,
"[3, 5, 3]",6.02E-01,6.02E-01,5.65E-01,5.13E-01,6.51E-01,5.56E-01,6.28E-01,,
"[3, 5, 4]",6.45E-01,6.45E-01,5.13E-01,5.67E-01,5.62E-01,5.97E-01,6.11E-01,,
"[3, 5, 5]",5.06E-01,5.06E-01,6.33E-01,4.75E-01,6.41E-01,6.42E-01,6.11E-01,,
"[4, 1, 5]",5.85E-01,5.85E-01,6.10E-01,5.97E-01,5.90E-01,6.77E-01,5.35E-01,,
"[4, 2, 5]",5.58E-01,5.58E-01,5.57E-01,6.12E-01,5.61E-01,6.19E-01,6.30E-01,,
"[4, 3, 5]",5.64E-01,5.64E-01,5.40E-01,5.23E-01,5.18E-01,5.62E-01,5.82E-01,,
"[4, 4, 5]",5.38E-01,5.38E-01,6.02E-01,5.78E-01,6.06E-01,6.16E-01,6.31E-01,,
"[4, 5, 1]",5.24E-01,5.24E-01,6.64E-01,5.39E-01,6.22E-01,5.72E-01,5.72E-01,,
"[4, 5, 2]",5.85E-01,5.85E-01,5.45E-01,5.85E-01,5.98E-01,5.82E-01,6.00E-01,,
"[4, 5, 3]",6.01E-01,6.01E-01,5.77E-01,5.75E-01,6.10E-01,5.83E-01,6.13E-01,,
"[4, 5, 4]",5.64E-01,5.64E-01,6.21E-01,5.70E-01,5.31E-01,5.37E-01,5.77E-01,,
"[4, 5, 5]",5.32E-01,5.32E-01,5.64E-01,5.11E-01,5.26E-01,5.98E-01,7.06E-01,,
"[5, 1, 1]",5.39E-01,5.39E-01,5.31E-01,5.47E-01,5.67E-01,6.43E-01,5.92E-01,,
"[5, 1, 2]",5.52E-01,5.52E-01,5.84E-01,5.97E-01,7.15E-01,6.16E-01,5.32E-01,,
"[5, 1, 3]",5.16E-01,5.16E-01,6.26E-01,5.49E-01,5.86E-01,5.85E-01,5.94E-01,,
"[5, 1, 4]",5.17E-01,5.17E-01,5.36E-01,5.54E-01,6.14E-01,5.78E-01,5.28E-01,,
"[5, 1, 5]",5.47E-01,5.47E-01,5.59E-01,5.18E-01,5.86E-01,6.35E-01,5.44E-01,,
"[5, 2, 1]",5.73E-01,5.73E-01,5.85E-01,4.55E-01,5.35E-01,6.71E-01,5.19E-01,,
"[5, 2, 2]",5.55E-01,5.55E-01,5.90E-01,5.23E-01,5.33E-01,5.56E-01,5.70E-01,,
"[5, 2, 3]",5.47E-01,5.47E-01,5.73E-01,5.21E-01,5.00E-01,5.55E-01,5.62E-01,,
"[5, 2, 4]",5.92E-01,5.92E-01,5.81E-01,5.66E-01,5.58E-01,5.10E-01,5.83E-01,,
"[5, 2, 5]",5.46E-01,5.46E-01,5.65E-01,5.78E-01,5.71E-01,6.56E-01,6.59E-01,,
"[5, 3, 1]",5.37E-01,5.37E-01,6.72E-01,5.83E-01,5.96E-01,6.93E-01,4.90E-01,,
"[5, 3, 2]",5.59E-01,5.59E-01,5.07E-01,5.26E-01,5.17E-01,6.00E-01,5.58E-01,,
"[5, 3, 3]",5.62E-01,5.62E-01,5.30E-01,5.12E-01,6.66E-01,5.33E-01,6.47E-01,,
"[5, 3, 4]",6.74E-01,6.74E-01,5.62E-01,5.71E-01,5.91E-01,5.81E-01,5.82E-01,,
"[5, 3, 5]",5.08E-01,5.08E-01,5.57E-01,6.71E-01,6.57E-01,5.61E-01,5.93E-01,,
"[5, 4, 1]",5.45E-01,5.45E-01,6.27E-01,5.82E-01,5.66E-01,6.29E-01,5.43E-01,,
"[5, 4, 2]",5.74E-01,5.74E-01,5.03E-01,5.82E-01,5.48E-01,5.63E-01,6.84E-01,,
"[5, 4, 3]",6.44E-01,6.44E-01,6.85E-01,4.98E-01,5.27E-01,5.63E-01,5.93E-01,,
"[5, 4, 4]",5.48E-01,5.48E-01,6.30E-01,5.61E-01,5.67E-01,5.51E-01,6.01E-01,,
"[5, 4, 5]",5.29E-01,5.29E-01,6.20E-01,4.69E-01,6.16E-01,6.01E-01,6.69E-01,,
"[5, 5, 1]",5.71E-01,5.71E-01,5.12E-01,4.93E-01,6.19E-01,6.54E-01,5.58E-01,,
"[5, 5, 2]",5.01E-01,5.01E-01,5.35E-01,5.45E-01,5.43E-01,5.72E-01,5.80E-01,,
"[5, 5, 3]",5.36E-01,5.36E-01,5.97E-01,5.99E-01,6.07E-01,5.58E-01,5.70E-01,,
"[5, 5, 4]",5.96E-01,5.96E-01,5.78E-01,5.42E-01,6.09E-01,5.62E-01,6.09E-01,,
"[5, 5, 5]",4.94E-01,4.94E-01,5.73E-01,6.42E-01,5.57E-01,5.25E-01,7.00E-01,,
,,,,,,,,,
MAX,6.88E-01,7.24E-01,7.02E-01,7.09E-01,7.23E-01,7.29E-01,7.06E-01,,
